1,2013/04/05,07,10,12,17,23,28,34,03,15
2,2013/04/12,20,24,29,31,33,34,35,12,32
3,2013/04/19,02,07,08,11,14,23,31,05,15
4,2013/04/26,12,13,22,23,24,28,29,02,14
5,2013/05/03,01,03,04,05,16,21,28,22,31
6,2013/05/10,05,15,19,23,30,34,35,06,25
7,2013/05/17,01,03,05,07,27,29,33,06,15
8,2013/05/24,02,21,28,29,30,32,36,06,08
9,2013/05/31,03,04,15,23,27,30,36,13,35
10,2013/06/07,01,02,03,06,24,28,30,16,20
11,2013/06/14,09,15,26,29,32,34,36,14,35
12,2013/06/21,11,12,14,19,26,27,33,24,32
13,2013/06/28,06,10,16,21,27,28,35,15,34
14,2013/07/05,04,07,08,09,24,28,30,34,36
15,2013/07/12,02,10,14,17,23,25,35,08,29
16,2013/07/19,05,06,09,13,16,21,23,08,34
17,2013/07/26,02,03,05,22,34,36,37,07,15
18,2013/08/02,12,17,21,24,29,31,36,20,26
19,2013/08/09,02,14,19,20,21,22,31,01,15
20,2013/08/16,02,05,13,20,21,23,28,11,22
21,2013/08/23,01,09,13,15,25,30,33,19,28
22,2013/08/30,02,04,08,09,15,23,25,03,10
23,2013/09/06,04,08,11,25,28,29,30,14,32
24,2013/09/13,04,05,08,10,16,19,33,02,29
25,2013/09/20,01,06,11,16,17,18,21,10,24
26,2013/09/27,11,13,16,18,26,31,36,21,27
27,2013/10/04,01,10,11,14,17,18,28,25,26
28,2013/10/11,06,07,12,15,19,35,37,01,11
29,2013/10/18,02,03,16,17,24,26,28,15,31
30,2013/10/25,06,08,13,22,26,32,36,16,34
31,2013/11/01,09,12,13,19,23,33,34,20,32
32,2013/11/08,03,08,15,18,27,29,37,31,34
33,2013/11/15,01,04,17,24,29,33,36,19,30
34,2013/11/22,04,06,07,23,24,32,35,08,27
35,2013/11/29,01,16,18,19,25,30,34,26,36
36,2013/12/06,05,06,10,11,20,28,36,25,37
37,2013/12/13,07,08,10,13,14,19,37,29,33
38,2013/12/20,04,14,19,22,24,29,34,08,31
39,2013/12/27,07,13,19,23,25,26,30,01,18
40,2014/01/10,02,06,11,23,26,31,34,07,20
41,2014/01/17,02,03,08,15,34,35,36,25,28
42,2014/01/24,02,15,16,17,23,31,33,08,26
43,2014/01/31,04,06,07,08,24,31,37,05,13
44,2014/02/07,03,04,06,15,27,28,29,01,14
45,2014/02/14,01,02,09,18,21,27,33,25,31
46,2014/02/21,02,05,06,15,23,27,30,04,35
47,2014/02/28,02,09,11,14,20,21,36,06,15
48,2014/03/07,03,05,24,26,29,30,34,08,35
49,2014/03/14,08,11,12,17,24,26,27,14,21
50,2014/03/21,03,04,07,08,15,24,29,11,16
51,2014/03/28,01,04,05,08,20,23,35,15,33
52,2014/04/04,08,10,22,24,26,32,34,05,09
53,2014/04/11,01,04,14,16,20,33,36,12,30
54,2014/04/18,01,03,05,10,18,22,23,07,35
55,2014/04/25,04,12,14,17,23,30,36,13,33
56,2014/05/02,04,23,26,27,28,32,36,29,30
57,2014/05/09,05,06,12,16,17,20,33,08,32
58,2014/05/16,01,06,07,08,23,32,33,11,34
59,2014/05/23,05,08,12,13,21,30,35,27,34
60,2014/05/30,03,07,09,15,16,23,34,05,33
61,2014/06/06,05,10,11,21,28,31,37,13,14
62,2014/06/13,04,10,12,15,27,32,33,09,16
